"pupal_treatment","emergence_date","sex","adultID","weight","mateID","clutchID","age","green_eggs","orange_eggs","clutch_size","eggs_photographed","clutch_code","X.x","larval_treatment","egg_mean_1B","egg_mean_2A","notes.y","egg_mean_1A","clutch_ID","maternalID"
"mean","11/27/2025","F","CTRL.WTH.33_P1_M",0.0286,"CTRL.WTH.64_P1_M","A.M.105","DONE",54,180,234,"DONE","5684","","ambient",NA,NA,"",0.193762694,"A.M.105","33"
"mean","11/27/2025","F","CTRL.WTH.148_P5_M",0.0245,"CTRL.WTH.78_P4_M","A.M.106","DONE",7,180,187,"DONE","8863","","ambient",NA,NA,"",0.180051598,"A.M.106","148"
"mean","11/27/2025","F","HOT.WTH.43_P4_M",0.0317,"HOT.WTH.117_P3_M","H.M.107","DONE",0,225,225,"DONE","5775","","hot",NA,NA,"",0.207992639,"H.M.107","43"
"mean","11/27/2025","F","MEAN.WTH.43_P6_M",0.0123,"MEAN.WTH.42_P2_M","M.M.108","DONE",1,66,67,"DONE","7643","","mean",NA,NA,"",0.213145135,"M.M.108","43"
"mean","11/27/2025","F","HOT.BLG.15_P3_M",0.0192,"HOT.WTH.152_P2_M","H.M.109","DONE",1,15,16,"DONE","9912","","hot",NA,NA,"",0.196969057,"H.M.109","15"
"warm","11/27/2025","F","HOT.WTH.43_P1_W",0.0313,"HOT.WTH.42_P4_W","H.W.110","DONE",10,180,190,"DONE","8126","","hot",NA,NA,"",0.199151749,"H.W.110","43"
"warm","11/27/2025","F","CTRL.WTH.42_P4_W",0.0277,"CTRL.WTH.110_P3_W","A.W.111","DONE",3,56,59,"DONE","4357","","ambient",NA,NA,"",0.22046901,"A.W.111","42"
"warm","11/27/2025","F","HOT.WTH.84_P1_W",0.0422,"HOT.WTH.60_P9_W","H.W.113","DONE",0,292,292,"DONE","9535","","hot",NA,NA,"",0.206164829,"H.W.113","84"
"cool","11/29/2025","F","HOT.WTH.151_P1_C",0.038,"HOT.WTH.98_P4_C","H.C.116","DONE",159,155,314,"DONE","1681","","hot",NA,NA,"",0.187812495,"H.C.116","151"
"cool","11/29/2025","F","CTRL.WTH.42_P6_C",0.0322,"CTRL.WTH.92_P3_C","A.C.117","DONE",9,0,9,"DONE","3506","","ambient",NA,NA,"",0.201943256,"A.C.117","42"
"cool","11/29/2025","F","HOT.WTH.153_P1_C",0.0268,"HOT.WTH.123_P3_C","H.C.118","DONE",74,0,74,"DONE","1194","","hot",NA,NA,"",0.226766683,"H.C.118","153"
"cool","11/29/2025","F","CTRL.WTH.1_P1_C",0.0257,"CTRL.WTH.110_P1_C","A.C.121","DONE",13,0,13,"DONE","5649","","ambient",NA,NA,"",0.210882325,"A.C.121","1"
"hot","11/29/2025","F","CTRL.WTH.25_P1_H",0.0286,"CTRL.WTH.48_P4_H","A.H.123","DONE",4,238,242,"DONE","3131","","ambient",NA,NA,"",0.219358352,"A.H.123","25"
"hot","11/29/2025","F","HOT.WTH.44_P2_H",0.0341,"HOT.WTH.96_P7_H","H.H.124","DONE",0,6,6,"DONE","7133","","hot",NA,NA,"",0.205861929,"H.H.124","44"
"hot","11/29/2025","F","CTRL.WTH.42_P2_H",0.0237,"CTRL.WTH.50_P1_H","A.H.125","DONE",51,0,51,"DONE","1754","","ambient",NA,NA,"",0.192383294,"A.H.125","42"
"hot","11/29/2025","F","WARM.WTH.53_P6_H",0.0203,"WARM.WTH.127_P4_H","W.H.126","DONE",0,280,280,"DONE","7552","","warm",NA,NA,"",0.209838923,"W.H.126","53"
"warm","11/29/2025","F","CTRL.WTH.159_P4_W",0.0228,"CTRL.WTH.33_P2_W","A.W.128","DONE",10,25,35,"DONE","4463","","ambient",NA,NA,"",0.180404189,"A.W.128","159"
