"clutchID","eggID","code_name","first.photo","size_01","repeatability.photo","size_02","weight_wk3","weight_wk4","weight_wk5","weight_wk6","X","X.1","hatch_date","weighday_1","weight_1","weighday_2","weight_2","weighday_3","weight3","weighday_4","weight4","weighday_5","weight_5","pupal_treatment"
"A.A.57","AA57.01",712,1,0.225,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.02",261,1,0.205,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.03",930,1,0.21,"1",0.193,NA,NA,NA,NA,NA,"",2026-03-24,2026-04-11,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.04",523,1,0.192,"1",0.204,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"i think i squashed this one? 30/03/2026 (dead)",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.05",313,1,0.199,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.06",229,1,0.204,"1",0.202,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.07",513,1,0.202,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.08",667,1,0.2,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.09",329,1,0.184,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.57","AA57.10",902,1,0.2,"1",0.208,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.01",965,1,0.217,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.02",113,1,0.196,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.03",440,1,0.189,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.04",709,1,0.196,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.05",741,1,0.197,"1",0.195,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.06",768,1,0.223,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.07",188,1,0.211,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.08",708,1,0.206,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.09",130,1,0.215,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.81","AA81.10",378,1,0.194,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.01",625,1,0.202,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.02",890,1,0.198,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.03",456,1,0.213,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.04",392,1,0.219,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.05",656,1,0.229,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.06",926,1,0.218,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.07",976,1,0.182,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.08",826,1,0.219,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.09",878,1,0.233,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.83","AA83.10",115,1,0.19,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.M.105","AM105.01",863,1,0.19,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.02",556,1,0.195,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.03",179,1,0.212,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.04",402,1,0.208,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.05",111,1,0.204,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.06",587,1,0.196,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.07",498,1,0.184,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.08",644,1,0.214,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.09",599,1,0.196,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.105","AM105.10",472,1,0.185,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.01",126,1,0.184,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.02",288,1,0.191,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.03",743,1,0.184,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.04",896,1,0.168,"really small…",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.05",512,1,0.199,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.06",254,1,0.194,"1",0.193,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.07",998,1,0.174,"1",0.16,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.08",807,1,0.183,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.09",602,1,0.18,"1",0.182,NA,NA,NA,NA,NA,"forgot to save the first image, ooops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.106","AM106.10",780,1,0.192,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.01",821,1,0.174,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.02",214,1,0.183,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.03",576,1,0.192,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.04",382,1,0.177,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.05",325,1,0.198,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.06",952,1,0.185,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.07",142,1,0.208,"",NA,NA,NA,NA,NA,NA,"",2026-03-24,2026-04-11,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.08",279,1,0.193,"",NA,NA,NA,NA,NA,NA,"",2026-03-24,2026-04-11,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.09",567,1,0.237,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.17","AM17.10",674,1,0.176,"1",0.17,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.01",458,1,0.228,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.02",180,1,0.209,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.03",131,1,0.214,"1",0.212,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.04",932,1,0.171,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.05",116,1,0.215,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.06",187,1,0.201,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.07",781,1,0.213,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.08",237,1,0.213,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.09",320,1,0.226,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.178","AM178.10",109,1,0.202,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.01",668,1,0.221,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.02",290,1,0.206,"",NA,NA,NA,NA,NA,NA,"",2026-03-28,2026-04-15,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.03",483,1,0.211,"",NA,NA,NA,NA,NA,NA,"",2026-03-24,2026-04-11,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.04",226,1,0.221,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.05",616,1,0.214,"",NA,NA,NA,NA,NA,NA,"",2026-03-22,2026-04-09,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.06",221,1,0.209,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.07",163,1,0.226,"",NA,NA,NA,NA,NA,NA,"",2026-03-24,2026-04-11,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.08",663,1,0.236,"",NA,NA,NA,NA,NA,NA,"",2026-03-24,2026-04-11,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.09",894,1,0.202,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.2","AM2.10",657,1,0.218,"",NA,NA,NA,NA,NA,NA,"",2026-03-24,2026-04-11,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.01",469,1,0.187,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.02",324,1,0.217,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.03",350,1,0.196,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.04",425,1,0.186,"1",0.194,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.05",601,1,0.204,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.06",373,1,0.198,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.07",661,1,0.191,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.08",128,1,0.222,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.09",258,1,0.228,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.321","AM321.10",828,1,0.206,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.35","AM35.01",149,1,0.205,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.35","AM35.02",289,1,0.2,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.35","AM35.03",939,1,0.189,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean"
"A.M.35","AM35.04",727,1,0.198,"1",0.196,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"mean"
