pupal_treatment,emergence_date,sex,adultID,weight,mateID,treatment_combination,clutchID,notes,age,age_at_photo,uploaded,dead,green_eggs,orange_eggs,clutch_size,eggs_photographed,clutch_code,cg,,,
mean,11/19/2025,F,F2.WARM.HOT_P7_M,0.0248,HOT.WTH.41_P2_M,,W.H.M.34,,DONE,8,yes,,13,158,171,,,Y,1 E6,,
mean,11/19/2025,F,CTRL.WTH.43_P2_M,0.0343,CTRL.WTH.17_P2_M,,A.M.35,,DONE,8,yes,,0,42,42,DONE,8988,Y,1G2,,
mean,11/19/2025,M,HOT.WTH.41_P2_M,,F2.WARM.HOT_P7_M,,W.H.M.34,,DONE,8,yes,,,,,,,,,,
mean,11/19/2025,M,CTRL.WTH.78_P4_M,,CTRL.WTH.148_P5_M,,A.M.106,,DONE,8,yes,,,,,,,,,,
mean,11/19/2025,M,CTRL.WTH.104_P3_M,,CTRL.WTH.117_P4_M,,A.M.36,,DONE,8,yes,,,,,,,,,,
mean,11/19/2025,M,CTRL.WTH.48_P1_M,,CTRL.WTH.170_P6_M,,A.M.37,,66,,,,,,,,,,,,
mean,11/19/2025,M,F1.COOL.WARM_P3_M,,F4.COOL.WARM_P2_M,,C.W.M.206,,DONE,8,yes,,,,,,,,,,
mean,11/19/2025,M,HOT.WTH.78_P2_M,,HOT.WTH.96_P3_M,,H.M.63,,DONE,8,yes,,,,,,,11111,,,
mean,11/19/2025,M,CTRL.WTH.42_P8_M,,CTRL.WTH.22_P2_M,,A.M.64,,DONE,13,yes,,,,,,,,,,
mean,11/21/2025,M,F2.WARM.CTRL_P4_M,,F5.CTRL.CTRL_P2_M,,A.A.M.268,deformed wings,DONE,11,yes,,,,,,,,,,
mean,11/21/2025,M,CTRL.WTH.111_P3_M,,CTRL.WTH.152_P1_M,,A.M.104,,DONE,11,yes,,,,,,,,,,
mean,11/21/2025,M,HOT.WTH.29_P3_M,,HOT.WTH.25_P4_M,,H.M.100,,DONE,11,yes,,,,,,,,,,
mean,11/21/2025,F,CTRL.WTH.53_P4_M,0.0338,CTRL.WTH.121_P4_M,,A.M.178,,DONE,6,yes,,8,294,302,DONE,5236,Y,1G6,,
mean,11/21/2025,M,WARM.WTH.43_P6_M,,WARM.WTH.164_P4_M,,W.M.38,,DONE,11,yes,,,,,,,,,,
mean,11/21/2025,M,HOT.WTH.37_P2,,HOT.WTH.41_P7_M,,H.M.69,,DONE,11,yes,,,,,,,,,,
mean,11/21/2025,F,CTRL.WTH.117_P4_M,0.0309,CTRL.WTH.104_P3_M,,A.M.36,,DONE,11,yes,,0,304,304,DONE,4994,Y,done,,
mean,11/21/2025,M,F1.HOT.HOT_P4_M,,HOT.WTH.168_P5_M,,H.M.259,,DONE,11,yes,,,,,,,,,,
mean,11/21/2025,F,CTRL.WTH.170_P6_M,0.0231,CTRL.WTH.48_P1_M,,A.M.37,,64,,,,90,79,169,DONE,9357,Y,1G1,,
mean,11/21/2025,F,WARM.WTH.164_P4_M,0.0242,WARM.WTH.43_P6_M,,W.M.38,,DONE,11,yes,,76,6,82,DONE,1216,,,,
mean,11/21/2025,M,F1.COOL.CTRL_P4_M,,F7.COOL.CTRL_P1_M,,C.A.M.70,,DONE,11,yes,,,,,,,,,,
mean,11/21/2025,F,F1.COOL.CTRL_P4_M,0.0373,F3.CTRL.CTRL_P4_M,,C.A.M.39,,DONE,11,yes,,82,0,82,,,,,,
