pupal_treatment,emergence_date,sex,adultID,weight,mateID,treatment_combination,clutchID,notes,age,age_at_photo,uploaded,dead,green_eggs,orange_eggs,clutch_size,eggs_photographed,clutch_code,cg,,,
cool,12/23/2025,M,F3.CTRL.MEAN_P3_C,,F6.CTRL.MEAN_P1_C,AMC,A.M.C.431,,DONE,6,,,,,,,,,,,
cool,12/23/2025,M,MEAN.WTH.106_P1_C,,MEAN.WTH.29_P2_C,MC,M.C.428,deformed wings ,DONE,14,,,,,,,,,,,
cool,12/23/2025,M,CTRL.WTH.162_P5_C,,CTRL.WTH.74_P1_C,AC,A.C.421,,DONE,6,,,,,,,,,,,
mean,12/23/2025,F,HOT.WTH.96_P1_M,0.0292,HOT.URD.1_P4_M,HM,H.M.480,,DONE,6,,,very alive,,0,,7149,,,,
mean,12/23/2025,F,F3.CTRL.HOT.2_P5_M,0.0224,,AHM,A.H.M.481,,DONE,6,,dead,,,,,,,,,
mean,12/23/2025,F,HOT.WTH.142_P4_M,0.0102,,HM,H.M.482,,DONE,6,,,,,,,,,,,
mean,12/23/2025,F,COOL.WTH.158_P1_M,0.0094,,CM,C.M.483,,DONE,6,,,,,,,,,,,
mean,12/23/2025,F,CTRL.WTH.74_P7_M,0.0286,CTRL.BLG.15_P3_M,AM,A.M.484,,DONE,14,,,0,0,0,,,,,,
mean,12/23/2025,F,CTRL.WTH.160_P3_M,0.0286,,AM,A.M.485,,DONE,6,,,,,,,,,,,
mean,12/23/2025,M,COOL.WTH.17_P1_M,,COOL.WTH.110_P1_M,CM,C.M.397,,DONE,14,,,,,,,,,,,
mean,12/23/2025,M,COOL.WTH.92_P2_M,,COOL.MCH.7_P1_M,CM,C.M.338,,DONE,6,,,,,,,,,,,
mean,12/25/2025,M,MEAN.WTH.94_P1_M,,,MM,,,30,,,dead,,,,,,,,,
cool,12/25/2025,M,HOT.ART.3_P1_C,,HOT.WTH.64_P5_C,HC,H.C.478,,30,,,,,,,,,,,,
cool,12/25/2025,F,MEAN.WTH.123_P1_C,0.01,,MC,M.C.486,,weird no photo,,,dead,,,,,,,,,
cool,12/25/2025,F,CTRL.WTH.130_P7_C,0.0193,,AC,A.C.487,,30,,,dead,,,,,,,,,
cool,12/25/2025,F,CTRL.WTH.152_P2_C,0.0264,,AC,A.C.488,,DONE,4,,,,,,,,,,,
cool,12/25/2025,F,WARM.WTH.74_P1_C,0.0309,WARM_WTH.74_P1_C,WC,W.C.489,,DONE,4,,,alive ,,0,,4199,,,,
cool,12/25/2025,F,WARM.WTH.160_P3_C,0.0197,WARM.WTH.114_P4_C,WC,W.C.490,,DONE,4,,,alive ,,0,,6919,,,,
cool,12/25/2025,F,WARM.WTH.84_P5_C,0.0209,,WC,W.C.491,,DONE,4,,,,,,,,,,,
warm,12/25/2025,M,COOL.WTH.176_P2_W,,,CW,,,DONE,12,,dead,,,,,,,,,
warm,12/25/2025,F,WARM.GLF.16_P4_W,0.0196,,WW,W.W.492,,DONE,12,,dead,,,,,,,,,
hot,12/27/2025,F,WARM.WTH.160_P1_H,0.0176,,WH,W.H.493,,28,,,dead,,,,,,,,,
cool,12/27/2025,F,WARM.WTH.23_P6_C,0.0251,,WC,W.C.494,,DONE,2,,,,,,,,,,,
cool,12/29/2025,F,WARM.WTH.161_P5_C,0.0059,,WC,W.C.495,,DONE,8,,,,,,,,,,,
cool,1/1/2026,M,HOT.WTH.154_P6_C,,HOT.WTH.47_P3_C,HC,H.C.477,,DONE,5,,,,,,,,,,,
cool,1/1/2026,F,MEAN.GLF.9_P1_C,0.0099,,MC,M.C.496,,DONE,1,,,,,,,,,,,
hot,1/1/2026,M,COOL.WTH.103_P2_H,,,CH,,,DONE,6,,,,,,,,,,,
mean,1/1/2026,M,COOL.MUN.1_P2_M,,COOL.WTH.16_P1_M,CM,C.M.450,,DONE,6,,,,,,,,,,,
mean,1/1/2026,M,WARM.WTH.176_P1_M,,WARM.WTH.130_P6_M,WM,W.M.438,,DONE,6,,,,,,,,,,,
mean,1/1/2026,M,HOT.URD.1_P4_M,,HOT.WTH.96_P1_M,HM,H.M.480,,DONE,6,,,,,,,,,,,
cool,1/5/2026,F,MEAN.WTH.47_P1_C,0.0129,,MC,M.C.497,,DONE,2,,,,,,,,,,,
cool,1/5/2026,F,WARM.WTH.168_P3_C,0.0187,,WC,W.C.498,,DONE,2,,,,,,,,,,,
cool,1/5/2026,M,COOL.WTH.157_P1_C,,COOL.WTH.123_P1_C,CC,C.C.476,,DONE,2,,,,,,,,,,,
cool,1/5/2026,M,MEAN.WTH.167_P1_C,,MEAN.WTH.25_P2_C,MC,M.C.432,,DONE,2,,,,,,,,,,,
mean,1/5/2026,F,MEAN.WTH.162_P4_M,0.0091,F5.CTRL.MEAN_P1,MM,M.M.499,,DONE,2,,,alive,,0,,9240,,,,
mean,1/5/2026,F,COOL.GLF.16_P2_M,0.0074,,CM,C.M.500,,DONE,2,,,,,,,,,,,
mean,1/5/2026,F,COOL.WTH.176_P2_M,0.0132,,CM,C.M.501,,DONE,2,,,,,,,,,,,
cool,1/7/2026,F,WARM.WTH.130_P2_C,0.0301,,WC,W.C.502,,DONE,0,,,,,,,,,,,
cool,1/7/2026,F,HOT.WTH.167_P5_C,0.0347,,HC,H.C.503,,DONE,0,,,,,,,,,,,
warm,1/9/2026,F,WARM.URD.1_P4_W,0.0141,HOT.URD.1_P5_W,WW,W.W.504,,15,,,,alive ,,0,,6595,,,,
warm,1/9/2026,M,HOT.URD.1_P6_W,,,,,,15,,,,,,,,,,,,
warm,1/12/2026,M,HOT.URD.1_P5_W,,WARM.URD.1_P4_W,HW ,W.W.504,,12,,,,,,,,,,,,
cool ,1/12/2026,F,F2.HOT.WARM_P2,0.0212,,HWC,H.W.C.505,,12,,,,,,,,,,,,
hot,1/12/2026,F,WARM.URD.1_P3_H,0.0128,,WH,W.H.506,,12,,,,,,,,,,,,
cool,1/14/2026,F,F2.WARM.COOL_P2_C,0.0068,,WCC,W.C.C.507,dead on emergence,10,,,,,,,,,,,,
cool,1/14/2026,F,MEAN.WTH.146_P2_C,0.0065, ,MC,M.C.508,,10,,,,,,,,4310,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
