"subclutch.id","site","femaleid","max.hatch","egg.number","tree.id","mat.collection.date","mat.coll.day","treehday","ndvi_halfdate","halfdate","halfslope","treatment"
"HOT.WTH.49","WTH","WTH.49",NA,15,"14128",2024-11-29,334,NA,NA,95.3073073073073,0.0809886017660486,"Hot"
"HOT.WTH.50","WTH","WTH.50",NA,15,"T13",2024-11-29,334,98.2351958749806,60.66666667,88.3873873873874,0.0621848187193679,"Hot"
"HOT.WTH.53","WTH","WTH.53",8,15,"T14",2024-12-02,337,98.3931460949248,62.74074074,94.4744744744745,0.0439938289010051,"Hot"
"HOT.WTH.60","WTH","WTH.60",15,15,"T12",2024-12-02,337,94.3318303824841,58.81481481,85.6256256256256,0.12226188269549,"Hot"
"HOT.WTH.64","WTH","WTH.64",13,15,"T7",2024-12-02,337,103.04963707727,61.87587588,89.8378378378378,0.107240898064394,"Hot"
"HOT.WTH.70","WTH","WTH.70",12,15,"T2",2024-12-04,339,102.297714241603,64.04804805,101.521521521522,0.0634789273799893,"Hot"
"HOT.WTH.74","WTH","WTH.74",11,15,"T4",2024-12-04,339,104.298149373327,61.5955956,87.4414414414414,0.0770775414593976,"Hot"
"HOT.WTH.78","WTH","WTH.78",14,15,"T3",2024-12-06,341,100.531026342095,62.64664665,97.7207207207207,0.107192088646764,"Hot"
"HOT.WTH.84","WTH","WTH.84",5,6,"T3",2024-12-06,341,100.531026342095,62.64664665,91.2072072072072,0.120617616950159,"Hot"
"HOT.WTH.86","WTH","WTH.86",NA,NA,NA,NA,NA,NA,NA,89.4294294294294,0.0687658312940799,"Hot"
"HOT.WTH.88","WTH","WTH.88",5,5,"T3",2024-12-06,341,100.531026342095,62.64664665,97.5945945945946,0.0655717840923274,"Hot"
"HOT.WTH.89","WTH","WTH.89",13,15,"T4",2024-12-06,341,104.298149373327,61.5955956,97.5495495495495,0.0502719564215808,"Hot"
"HOT.WTH.92","WTH","WTH.92",9,10,"T4",2024-12-06,341,104.298149373327,61.5955956,95.2432432432432,0.0646644754734178,"Hot"
"HOT.WTH.94","WTH","WTH.94",12,8,"T6",2024-12-06,341,100.765420311927,62.22622623,94.8588588588589,0.0495152071481288,"Hot"
"HOT.WTH.96","WTH","WTH.96",NA,15,"T9",2024-12-06,341,100.244090206684,62.97497497,87.1891891891892,0.132320770487312,"Hot"
"HOT.WTH.98","WTH","WTH.98",10,15,"20708",2024-12-06,341,NA,NA,102.354354354354,0.0537771979808237,"Hot"
"MEAN.ART.3","ART","ART.3",4,4,"ART119",2024-12-04,339,NA,NA,125.216216216216,0.0704793489269004,"Mean"
"MEAN.BLG.15","BLG","BLG.15",NA,15,"BLG87",2024-12-11,346,NA,NA,124.144144144144,0.149754987410562,"Mean"
"MEAN.EDI.12","EDI","EDI.12",2,3,"EDI133",2024-12-07,342,NA,NA,NA,NA,"Mean"
"MEAN.GLF.16","GLF","GLF.16",11,15,"GLF44",2024-12-11,346,NA,NA,131.369369369369,0.123322848544634,"Mean"
"MEAN.GLF.5","GLF","GLF.5",15,15,"GLF6",2024-12-05,340,NA,NA,112.942942942943,0.115672646572289,"Mean"
"MEAN.GLF.9","GLF","GLF.9",1,1,"GLF44",2024-12-07,342,NA,NA,NA,NA,"Mean"
"MEAN.MCH.7","MCH","MCH.7",5,2,"MCH57",2024-12-07,342,NA,NA,120.693693693694,0.0622978305105484,"Mean"
"MEAN.MUN.1","MUN","MUN.1",6,15,"MUN122",2024-12-04,339,NA,NA,120.45045045045,0.0500054467862132,"Mean"
"MEAN.URD.1","URD","URD.1",NA,15,"URD",2024-12-27,362,NA,NA,116.680680680681,0.0867675741045718,"Mean"
"MEAN.URD.2","URD","URD.2",2,2,"URD",2024-12-27,362,NA,NA,NA,NA,"Mean"
"MEAN.WTH.1","WTH","WTH.1",10,15,"T19",2024-11-15,320,102.751112558722,65.08508509,113.069069069069,0.0882803097230085,"Mean"
"MEAN.WTH.102","WTH","WTH.102",14,13,"14128",2024-12-06,341,NA,NA,123.991991991992,0.059948539474382,"Mean"
"MEAN.WTH.103","WTH","WTH.103",15,15,"14128",2024-12-06,341,NA,NA,118.593593593594,0.12381342562307,"Mean"
"MEAN.WTH.104","WTH","WTH.104",8,8,"14128",2024-12-06,341,NA,NA,NA,NA,"Mean"
"MEAN.WTH.106","WTH","WTH.106",11,15,"14128",2024-12-06,341,NA,NA,118.282282282282,0.074752187001837,"Mean"
"MEAN.WTH.110","WTH","WTH.110",13,15,"T11",2024-12-06,341,98.6583576948369,60.96296296,123.891891891892,0.0643427026388723,"Mean"
"MEAN.WTH.111","WTH","WTH.111",4,7,"T14",2024-12-06,341,98.3931460949248,62.74074074,NA,NA,"Mean"
"MEAN.WTH.113","WTH","WTH.113",5,10,"T14",2024-12-06,341,98.3931460949248,62.74074074,117.725725725726,0.111354303270757,"Mean"
"MEAN.WTH.114","WTH","WTH.114",11,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,118.54954954955,0.286969381508992,"Mean"
"MEAN.WTH.117","WTH","WTH.117",12,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,116.680680680681,0.180178468101173,"Mean"
"MEAN.WTH.118","WTH","WTH.118",10,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,118.322322322322,0.0713298725307251,"Mean"
"MEAN.WTH.12","WTH","WTH.12",5,5,"17321",2024-11-25,330,NA,NA,113.089089089089,0.139245983289923,"Mean"
"MEAN.WTH.121","WTH","WTH.121",11,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,121.851851851852,0.0609414547039532,"Mean"
"MEAN.WTH.123","WTH","WTH.123",12,15,"T13",2024-12-06,341,98.2351958749806,60.66666667,121.279279279279,0.157601148766947,"Mean"
"MEAN.WTH.127","WTH","WTH.127",7,6,"T12",2024-12-06,341,94.3318303824841,58.81481481,116.189189189189,0.122708858324465,"Mean"
"MEAN.WTH.13","WTH","WTH.13",10,15,"17321",2024-11-25,330,NA,NA,113.317317317317,0.0701858114551041,"Mean"
"MEAN.WTH.130","WTH","WTH.130",10,15,"T20",2024-12-06,341,104.037295159926,66.76676677,117.665665665666,0.0931830316692277,"Mean"
"MEAN.WTH.138","WTH","WTH.138",14,15,"T13",2024-12-09,344,98.2351958749806,60.66666667,121.441441441441,0.108266546015099,"Mean"
"MEAN.WTH.139","WTH","WTH.139",15,15,"T13",2024-12-09,344,98.2351958749806,60.66666667,124.314314314314,0.0723390900808297,"Mean"
"MEAN.WTH.14","WTH","WTH.14",2,5,"T11",2024-11-25,330,98.6583576948369,60.96296296,NA,NA,"Mean"
"MEAN.WTH.142","WTH","WTH.142",5,8,"T11",2024-12-09,344,98.6583576948369,60.96296296,125.381381381381,0.0853818357152287,"Mean"
"MEAN.WTH.145","WTH","WTH.145",12,15,"T3",2024-12-11,346,100.531026342095,62.64664665,116.58958958959,0.128700732054433,"Mean"
"MEAN.WTH.146","WTH","WTH.146",7,15,"T8",2024-12-11,346,96.7072963464517,60.63663664,120.468468468468,0.0890220243708856,"Mean"
"MEAN.WTH.148","WTH","WTH.148",15,15,"T14",2024-12-11,346,98.3931460949248,62.74074074,117.577577577578,0.0633992561636976,"Mean"
"MEAN.WTH.15","WTH","WTH.15",13,15,"14128",2024-11-25,330,NA,NA,119.347347347347,0.0899403521055133,"Mean"
"MEAN.WTH.150","WTH","WTH.150",7,8,"T15",2024-12-11,346,99.5208219374215,64.44444444,119.491491491491,0.0800509362320595,"Mean"
"MEAN.WTH.151","WTH","WTH.151",11,12,"T20",2024-12-11,346,104.037295159926,66.76676677,117.48048048048,0.0707151593585244,"Mean"
"MEAN.WTH.152","WTH","WTH.152",11,15,"T20",2024-12-11,346,104.037295159926,66.76676677,123.87987987988,0.132777592367334,"Mean"
"MEAN.WTH.153","WTH","WTH.153",15,15,"T3",2024-12-13,348,100.531026342095,62.64664665,119.3003003003,0.214060576191945,"Mean"
"MEAN.WTH.154","WTH","WTH.154",12,15,"T3",2024-12-13,348,100.531026342095,62.64664665,125.955955955956,0.140561914463089,"Mean"
"MEAN.WTH.155","WTH","WTH.155",NA,15,"T3",2024-12-13,348,100.531026342095,62.64664665,122.36036036036,0.164503081445293,"Mean"
"MEAN.WTH.157","WTH","WTH.157",12,15,"T5",2024-12-13,348,96.0456539658214,58.02202202,118.306306306306,0.110539810911093,"Mean"
"MEAN.WTH.158","WTH","WTH.158",12,15,"T8",2024-12-13,348,96.7072963464517,60.63663664,121.195195195195,0.143627204275999,"Mean"
"MEAN.WTH.159","WTH","WTH.159",12,15,"T11",2024-12-13,348,98.6583576948369,60.96296296,124.900900900901,0.0845735528592232,"Mean"
"MEAN.WTH.16","WTH","WTH.16",10,8,"T13",2024-11-25,330,98.2351958749806,60.66666667,116.892892892893,0.059598463836626,"Mean"
"MEAN.WTH.160","WTH","WTH.160",8,15,"T12",2024-12-13,348,94.3318303824841,58.81481481,122.720720720721,0.0696435952822765,"Mean"
"MEAN.WTH.161","WTH","WTH.161",13,15,"T12",2024-12-13,348,94.3318303824841,58.81481481,117.515515515516,0.331130868058657,"Mean"
"MEAN.WTH.162","WTH","WTH.162",12,14,"T13",2024-12-13,348,98.2351958749806,60.66666667,117.402402402402,0.0515065569629935,"Mean"
"MEAN.WTH.164","WTH","WTH.164",12,15,"T14",2024-12-13,348,98.3931460949248,62.74074074,119.567567567568,0.0657051247321149,"Mean"
"MEAN.WTH.167","WTH","WTH.167",11,15,"T16",2024-12-13,348,98.358661241837,60.92092092,121.63963963964,0.0698225398006714,"Mean"
"MEAN.WTH.168","WTH","WTH.168",11,11,"T19",2024-12-13,348,102.751112558722,65.08508509,123.435435435435,0.110331647467351,"Mean"
"MEAN.WTH.17","WTH","WTH.17",12,15,"T18",2024-11-25,330,117.724246440595,73.09309309,114.002002002002,0.0632253572388199,"Mean"
"MEAN.WTH.170","WTH","WTH.170",6,15,"T3",2024-12-16,351,100.531026342095,62.64664665,126.864864864865,0.0867578714431502,"Mean"
"MEAN.WTH.176","WTH","WTH.176",8,15,"T3",2024-12-18,353,100.531026342095,62.64664665,124.543543543544,0.0927257840100637,"Mean"
"MEAN.WTH.179","WTH","WTH.179",NA,14,"T12",2024-12-18,353,94.3318303824841,58.81481481,127.325325325325,0.0522026948799248,"Mean"
"MEAN.WTH.22","WTH","WTH.22",14,15,"T19",2024-11-25,330,102.751112558722,65.08508509,113.621621621622,0.0895016729125576,"Mean"
"MEAN.WTH.23","WTH","WTH.23",NA,15,"T20",2024-11-25,330,104.037295159926,66.76676677,109.62962962963,0.142304589340749,"Mean"
